features.source_id; features.freq1_harmonics_freq_0; features.small_kurtosis; features.freq_y_offset; features.freq3_harmonics_rel_phase_2; features.freq2_harmonics_rel_phase_2; features.freq1_harmonics_rel_phase_error_0; features.freq_signif_ratio_31; features.beyond1std; features.freq1_harmonics_rel_phase_0; features.freq1_harmonics_rel_phase_1; features.freq1_harmonics_rel_phase_2; features.max_slope; features.freq1_harmonics_amplitude_2; features.freq1_harmonics_amplitude_3; features.freq1_harmonics_amplitude_0; features.freq2_harmonics_rel_phase_0; features.freq2_harmonics_freq_0; features.freq2_harmonics_amplitude_error_0; features.flux_percentile_ratio_mid35; features.qso_log_chi2_qsonu; features.flux_percentile_ratio_mid20; features.freq1_harmonics_rel_phase_3; features.flux_percentile_ratio_mid80; features.freq3_harmonics_freq_0; features.min; features.skew; features.freq2_harmonics_rel_phase_error_0; features.median_buffer_range_percentage; features.freq_amplitude_ratio_21; features.freq_varrat; features.median_absolute_deviation; features.freq3_harmonics_amplitude_0; features.percent_difference_flux_percentile; features.freq2_harmonics_amplitude_1; features.freq2_harmonics_amplitude_0; features.freq2_harmonics_amplitude_3; features.freq2_harmonics_amplitude_2; features.freq2_harmonics_rel_phase_3; features.freq3_harmonics_amplitude_error_0; features.freq2_harmonics_rel_phase_1; features.freq_frequency_ratio_31; features.freq3_harmonics_amplitude_2; features.chi2_per_deg; features.chi2; features.freq_signif_ratio_21; features.freq1_harmonics_amplitude_error_0; features.freq_frequency_ratio_21; features.dc; features.flux_percentile_ratio_mid65; features.freq_signif; features.freq3_harmonics_rel_phase_error_0; features.pair_slope_trend; features.freq_harmonics_offset; features.linear_trend; features.std; features.max; features.weighted_average; features.median; features.flux_percentile_ratio_mid50; features.percent_amplitude; features.freq3_harmonics_rel_phase_3; features.freq3_harmonics_rel_phase_0; features.freq3_harmonics_rel_phase_1; features.freq1_harmonics_amplitude_1; features.freq3_harmonics_amplitude_1; features.amplitude; features.freq3_harmonics_amplitude_3; features.n_points; features.freq_amplitude_ratio_31; features.stetson_j; features.stetson_k; sources.original_source_id; sources.noisification; sources.classification; sources.survey; sources.c1; sources.c2; sources.e1; sources.e2
106; 8.13750293996; -0.451041273646; -0.00323195388416; -1.01299479523; 2.32574005612; 0.10676951449; 0.572304411289; 0.0; 0.0; 1.00634982446; -2.65339082222; 20.0; 0.00467946175394; 0.00624761418062; 0.036003399008; -2.34305770524; 13.8914019861; 0.00388339393908; 0.32016544214; 0.42004262375; 0.176409441852; 0.730346734344; 0.850172470924; 7.84123194582; 10.5; 0.031949565937; 0.18377513881; 0.357142857143; 0.566221285445; 0.576407438853; 0.0308; 0.0162160097069; 0.125323730229; 0.00484965576476; 0.0203858908667; 0.00662630304773; 0.00419260270134; -3.06079160942; 0.00383983926139; -1.56765961427; 0.963591903274; 0.00263123911103; 473.185816736; 52523.6256577; 0.641964590165; 0.00373264110121; 1.70708411274; 9.99999335625; 0.659927656306; 5.19989391264; 0.24587616159; 0.0666666666667; 513.53221658; -1.24322567149e-05; 0.0445287601971; 10.709; 10.6048939422; 10.6049; 0.465420891386; 0.101437858694; 1.95725403434; 0.947301352768; -0.0785238202079; 0.00193868549375; 0.00358035474869; 0.1045; 0.000906120253401; 112.0; 0.450402188506; -0.869973229602; 1.02707255994; 106; None; Delta Scuti; test; 7.3338975; 79.8783406; 0.001; 0.001
107; 2.5623588428; -1.31475534773; 0.0305624549725; -1.05500695568; -1.30580191018; 0.0138976960034; 0.493657280581; 0.0; 0.0; 2.20016514212; 2.34276317507; 67.0; 0.00696572265445; 0.00307555874378; 0.239558254268; 3.09950196604; 3.62418962669; 0.00346321536357; 0.481245757429; 3.69569734388; 0.310817015008; -2.72954720404; 0.929761248156; 0.706270874267; 9.9598; 0.135402399655; 0.0822147524152; 0.157894736842; 0.168397174857; 0.0926029030943; 0.1752; 0.0316517162347; 0.443803027219; 0.005682082544; 0.0403409332325; 0.00728735656113; 0.0078813717162; -1.0803481544; 0.00315649191506; 1.2751066167; 0.275633085604; 0.00896554298295; 151.023217603; 17065.6235892; 0.503722197374; 0.00351496997028; 1.41439581613; 9.99999335625; 0.822247498347; 7.82424746675; 0.118785502757; 0.0; 635.872141842; -1.02572862173e-05; 0.175897221428; 10.5672; 10.2385343057; 10.23405; 0.703430445202; 0.287359967716; -1.12179046816; -0.876348045314; 0.466772115706; 0.00514870651333; 0.00301087220957; 0.3037; 0.0119899717981; 114.0; 0.132125341836; 0.951052238168; 1.10094580791; 107; None; RR Lyrae, First Overtone; test; 18.6084942; 24.4156606; 0.001; 0.001
108; 13.4830957619; 3.85731736039; -0.000463042298013; 1.82431285425; -0.865323755195; 0.191135187376; 0.622436278101; 0.0; 0.0; 0.14784418104; 1.75882499873; 71.0; 0.000461093819431; 0.000774322192798; 0.00407277191755; 0.892232055037; 10.2588882104; 0.000587262437816; 0.271607321274; -0.42109138563; 0.121952427474; 0.865538007973; 0.836598138544; 13.2233091777; 4.2532; 1.03217695242; 0.28767533879; 0.520547945205; 0.543600325752; 0.525766142554; 0.0028; 0.0020297372761; 0.0119316802846; 0.00042876399309; 0.00221396014109; 0.000321023082503; 0.000524526791259; -0.695592146814; 0.000667868720856; -2.34607916371; 0.980732423121; 0.000775885515863; 1.43240570888; 103.133211039; 0.824700002927; 0.000658501859231; 0.760870381073; 4.26232821507; 0.595801118567; 3.48844176443; 0.314036219648; 0.0666666666667; 318.239201893; 7.7700841805e-06; 0.00460144959088; 4.2825; 4.26232821507; 4.2623; 0.432158023645; 0.0184328849789; -0.152960279433; -0.0751262593112; 2.85480671807; 0.00181026186644; 0.000990972946495; 0.01465; 0.000401845537336; 73.0; 0.498367528844; -0.998923007043; 0.939504351824; 108; None; Chemically Peculiar Stars; test; 14.6515038; -28.6425508; 0.001; 0.001
109; 9.90956378177; 0.0313125571282; 0.00261647205628; 0.874545321675; 0.425065843923; 0.16853686102; 0.806799558318; 0.0; 0.0; -2.94727767566; -2.50291463449; 50.0; 0.00408493619273; 0.00712371780516; 0.0285393234201; -1.05797172335; 13.9451904432; 0.00455777696359; 0.342763902736; -0.0420199888828; 0.24547643958; -2.0385726048; 0.736831310328; 10.1173161334; 10.8477; -0.0987145301106; 0.230264174937; 0.35593220339; 0.703086892352; 0.714080824667; 0.02975; 0.0186313028658; 0.119066971889; 0.00257124723726; 0.0200656242133; 0.00494581535372; 0.00232913561616; -0.862284652646; 0.00462540877521; -1.22468981407; 1.02096483318; 0.00233401634268; 788.674366382; 92274.9008666; 0.752579428936; 0.00456050056535; 1.40724564172; 9.99999335625; 0.587500639825; 3.91627976196; 0.236535334195; 0.0666666666667; 426.983623273; 1.31860957616e-05; 0.0414522093415; 11.0691; 10.960186752; 10.96335; 0.454253208776; 0.112397489343; -1.68639588907; 2.75997944082; -1.250977616; 0.00488003665661; 0.00192219845587; 0.1107; 0.00304267415524; 118.0; 0.652829171579; -0.877849066292; 1.03065730367; 109; None; Periodically variable supergiants; test; 17.2664629; -71.4617642; 0.001; 0.001
110; 0.245640584678; -1.61838517126; 0.0599260839913; -3.10865890602; -2.97146397761; 0.0134723355572; 0.300525437927; 0.0; 0.0; 2.65288144825; -1.00911758217; 41.0; 0.0651894763504; 0.0243563390783; 0.34675054981; -1.66509032484; 17.4145797647; 0.00312351485918; 0.405528382811; 3.17067319338; 0.230717349556; 1.7405403463; 0.90615951372; 19.9148652165; 9.5518; -0.415238910595; 0.227030909899; 0.138461538462; 0.0407326030653; 0.00907051324998; 0.2263; 0.0127378940302; 0.861302850658; 0.00584752133111; 0.0141240525081; 0.000396700534739; 0.00913528145845; 2.89153705313; 0.00323353069407; -2.74089731087; 81.0731876518; 0.00274668946991; 145.753810129; 18802.2415067; 0.322596382409; 0.00426036731185; 70.8945542837; 9.99999335625; 0.844937776763; 8.48860742759; 0.258205248024; 0.0; 439.58930084; -4.28148278938e-06; 0.296121659214; 10.443; 10.0081320796; 10.1359; 0.743737064289; 0.712537144481; -1.8950078198; 1.78256770348; -2.92889764303; 0.120874639624; 0.00810463181927; 0.4456; 0.00279937052232; 130.0; 0.0367350362881; 2.18190080861; 1.01178604744; 110; None; Classical Cepheid; test; 3.7908854; 58.4242908; 0.001; 0.001
111; 0.00221664994318; -1.09623728782; 0.232752287607; 1.99845304029; -0.979311821869; 0.00212645182745; 0.515628937151; 0.0; 0.0; -1.17802320003; -2.84385266824; 66.0; 0.0827205729253; 0.0787539997898; 0.918306441368; -3.11757100288; 0.304959878721; 0.00175360700325; 0.64726654978; 2.73973591873; 0.280488904594; 0.914161107599; 0.953690086085; 0.475045133977; 6.9821; 0.257866996381; 0.0135191465711; 0.240223463687; 0.137520554766; 0.0298453420699; 0.7877; 0.0747126157418; 1.93233618411; 0.0389631864859; 0.126286011262; 0.0314827005272; 0.0254559109715; 3.06433262286; 0.00169786277999; 1.765454167; 214.307692308; 0.00972096214454; 2915.72786458; 518999.559895; 0.640638363913; 0.00163909458545; 137.576923077; 7.95626618805; 0.895120369363; 10.3173725261; 0.0217520686464; 0.0333333333333; 351.26908088; -0.000580002480436; 0.759556765638; 9.6093; 7.95626618805; 8.0764; 0.804265275947; 1.73980718341; -1.12882990528; -1.07276049038; -1.66533429942; 0.127169036596; 0.0204799635114; 1.3136; 0.0236139774212; 179.0; 0.0813591328299; 6.26576537239; 1.07876407583; 111; None; Mira; test; 5.809465; 55.7925572; 0.001; 0.001
112; 4.57692852433; -0.12127719827; 0.000568489896665; 2.05980268; 1.71776930321; 0.0694566162607; 0.458527498983; 0.0; 0.0; 0.86683324847; -0.0893155628546; 113.0; 0.00818905036734; 0.00927529335549; 0.0668004566848; 2.67426226692; 17.704919428; 0.00398894144892; 0.303950760602; 1.32388843167; 0.206902957984; 0.0724246364043; 0.830418127424; 9.46940840181; 10.3389; -0.168981610538; 0.165494298771; 0.389830508475; 0.372926218795; 0.424460517737; 0.05065; 0.0209144115582; 0.188684079772; 0.0116384949599; 0.0249116417252; 0.00511725161092; 0.00523210053362; -3.09811291174; 0.00406771292532; 0.962969395334; 2.06894391107; 0.00804287588265; 306.705171388; 35884.5050524; 0.522152734642; 0.00421124033054; 3.86829711976; 9.99999335625; 0.623899874443; 6.3858722511; 0.19594761344; -0.133333333333; 376.086153707; -2.29753275509e-06; 0.066739606465; 10.723; 10.5335199821; 10.54415; 0.50745436335; 0.208091976541; 2.37252428818; -0.760556123064; 2.14807784425; 0.00486418303076; 0.00564926733152; 0.19205; 0.00723271016762; 118.0; 0.31308785293; -0.647924837585; 1.02595969799; 112; None; Delta Scuti; test; 6.3506004; -45.0758136; 0.001; 0.001
113; 0.00271605551358; -1.39419613999; 0.594834731989; 2.22131099759; -0.848139510721; 0.00493641066099; 0.613057586562; 0.0; -8.881784197e-16; 1.17698470039; -1.89212228093; 34.0; 0.166510714023; 0.217934528406; 2.14048029162; 1.67900233463; 11.5516469433; 0.00262655064567; 0.28539752288; 4.71244172843; 0.204593013858; -0.190951880649; 0.687652355155; 10.8684275596; 6.0306; -0.0219949594784; 0.015957880763; 0.184210526316; 0.0744091729379; 0.00954613721735; 1.6162; 0.115467485265; 5.03437599167; 0.025153918914; 0.159271368189; 0.00706035930425; 0.0218437143928; -1.07809456579; 0.00278061768685; -3.00387650696; 4001.5483871; 0.0334810134679; 10992.9452404; 824470.893027; 0.693835001605; 0.00540549530862; 4253.09677419; 8.11379311147; 0.499218568763; 6.41315432921; 0.0524737417209; -0.2; 434.644882796; -4.9915728338e-07; 1.59220955557; 10.8871; 8.11379311147; 7.8901; 0.355138911489; 4.5437035718; -3.08719946229; -1.68229199584; 0.40772291186; 0.368425555972; 0.0594302398335; 2.42825; 0.013714818222; 76.0; 0.053944661727; 15.3535808121; 1.00800564129; 113; None; Mira; test; 3.8427708; -31.9547258; 0.001; 0.001
114; 0.15940945703; -1.12864979163; 0.0793483378243; 1.76611454704; 1.74310049427; 0.0178745674298; 0.408340535098; 0.0; 0.0; -3.1009598418; -0.757665954209; 35.0; 0.0447002005137; 0.0250024368561; 0.325686116923; 1.86786611064; 13.2059486322; 0.0049993270022; 0.403638311773; 2.65524395107; 0.180192966819; -3.09415109993; 0.95019634554; 19.9669755428; 10.6445; 0.210612265369; 0.19649442267; 0.252100840336; 0.0774192722998; 0.0252638141401; 0.2301; 0.021008579219; 0.683213566352; 0.0138288836128; 0.0252143821703; 0.00305377102527; 0.0042181762329; 0.975510961468; 0.00474703226884; 1.34563888348; 125.25590335; 0.00672933229478; 827.83433717; 97684.4517861; 0.410796435361; 0.00510580025364; 82.8429434377; 9.99999335625; 0.830786530631; 7.66426647415; 0.232954923831; 0.0; 519.926453939; 1.36518497054e-05; 0.261564458988; 11.5139; 11.0161446756; 11.0208; 0.642517983406; 0.414229851262; 2.12676718287; -0.356986513176; -2.20792731053; 0.124790301847; 0.0026515950072; 0.4347; 0.000857973631251; 119.0; 0.0645056025644; 1.72823262771; 1.05979759605; 114; None; Classical Cepheid; test; 18.7545608; 65.5994019; 0.001; 0.001
115; 0.00257957377039; -1.16223288261; 0.0297441245343; 3.00813361864; 2.33509506359; 0.00518039209168; 0.597346200572; 0.0; -8.881784197e-16; -0.641690327896; 2.4485510118; 23.0; 0.0847472651172; 0.0284848059703; 0.806993340156; -0.408019541615; 0.0087521252924; 0.00254761890511; 0.484766630484; 1.86273847376; 0.251930839711; -1.89021110108; 0.788135756871; 0.0988529519868; 8.6846; 0.168742471348; 0.0329939349023; 0.198198198198; 0.100653317793; 0.0175368439571; 0.4685; 0.0863427911198; 1.68313146854; 0.0108260861904; 0.0812265571233; 0.022754786214; 0.0401923963765; -0.731988444569; 0.00307993121034; 2.77515193711; 38.3214285714; 0.0408794771806; 848.963069107; 187620.838273; 0.576792803005; 0.00321543172378; 3.39285714286; 9.60843747707; 0.650789085228; 11.5754221836; 0.0225407580689; 0.0666666666667; 468.897006331; -0.000292860858129; 0.631685694596; 10.743; 9.60843747707; 9.5855; 0.545349442352; 1.29276741042; -2.67716096142; 2.06022966276; 2.35163718967; 0.180762358012; 0.022612896163; 1.0292; 0.0254160136032; 222.0; 0.106993189192; 5.39537131878; 0.990777736944; 115; None; Mira; test; 13.7243667; 58.5636533; 0.001; 0.001
